"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes"
"003","018122252","Monograph","Language material ; Text","Volume","GBB6J4767","9781784662356","Complex Systems (Conference), 2nd, New Forest National Park, England","2016","meeting/conference","","Rzevski, G. (George), editor [person] ; Brebbia, C. A., editor [person] ; Complex Systems (Conference), 2nd, New Forest National Park, England, 2016 [meeting/conference]","Complex systems : theory and applications","International journal of design & nature and ecodynamics","","","England","Southampton","WIT Press","2017","","247 pages, illustrations (black and white and colour), 27 cm","003","System analysis--Congresses ; System theory--Congresses","Congress","English","'The material contained herein is reprinted from a special edition of the International journal of design & nature and ecodynamics, volume 11, number 4, published by WIT Press'--Title page verso ; Based on proceedings of Complex Systems 2016, 1-3 June 2016, New Forest, UK--Publisher's website"
"015.42617","015507804","Monograph","Language material ; Text","Volume","GBB123535","9780900616860","Clarke, David","1945-","person","","Clarke, David, 1945- [person]","The Broads in print : a retrospect of the books & pamphlets published about the Norfolk and Suffolk Broads. Part one. The days of discovery, the early 1800s to 1920","","","","England","Norwich","Joy & David Clarke","2010","","111 pages, illustrations (some colour), 24 cm","YC.2011.a.962","Broads, The (England)--History--Bibliography ; Broads, The (England)--Imprints","Bibliography","English",""
"016.942353","009539184","Monograph","Language material ; Text","Volume","GB9150929","9780861148738","Hamilton-Leggett, Peter","","person","","Dartmoor National Park Authority [organisation] ; Hamilton-Leggett, Peter [person]","The Dartmoor bibliography 1534-1991 : including a 1992 supplement : non fiction","","","","England","","Dartmoor National Park Authority ; Devon","1992","","xii, 367 pages","93/02370 ; 942.353","Devon (England)","","English",""
"069.0942956","010365126","Monograph","Language material ; Text","Volume","GB7902304","","Brecon Beacons National Park Committee","","organisation","","Brecon Beacons National Park Committee [organisation]","The Brecon Beacons Mountain Centre","","","","Wales","Brecon ; Brecon Beacons Mountain Centre, Libanus, Brecon ; LD3 8ER ; Powys","Committee","1978","","16, 4 pages, illustrations (chiefly hand coloured), 1 colour map, 15 x 21 cm","","Brecon Beacons Mountain Centre, Wales ; National parks--Powys--Libanus--Brecon Beacons National Park--Visitor centres--Brecon Beacons Mountain Centre","","English",""
"072.911","015294648","Serial","Language material ; Text","Volume","GBA985954","","","","","","","The Park weekly news","Weekly news","","","Scotland","Dunoon","E & R Inglis","2009-2010","","volumes, illustrations (some colour), portraits (some colour), 44 cm","ZK.9.d.3694","Argyll and Bute (Scotland)--Newspapers ; Stirling (Stirling, Scotland)--Newspapers ; Loch Lomond and the Trossachs National Park (Scotland)--Newspapers","Newspaper","English","'The newspaper for Scotland's first national park and surrounding districts.' ; 7th August 2009 issue bears numbering 'Issue 01' on back page ; Continues: The Park free press (ISSN: 1755-4853)"
"133.10942617","014048239","Monograph","Language material ; Text","Volume","GBA882323","9781903797792","Peters, Simon","","person","","Peters, Simon [person]","Ghosts and legends of the Broads","","","","England","","Lucas","2007","","137 pages, illustrations, 22 cm","YK.2008.a.11666","Broads, The (England)--Folklore ; Legends--England--Broads, The ; Ghosts--England--Broads, The","Folk tale or fairy tale","English","Includes index"
"133.129429","010079828","Monograph","Language material ; Text","Volume","GB96Y5199","9780575600782","Chadbourn, Mark","","person","","Chadbourn, Mark [person]","Testimony","","","","England","London","Vista","1996","","250 pages, 8 pages of plates, illustrations, portraits, 18 cm","YK.1996.a.23206","Heol Fanog ; Ghosts ; Rich family ; Ghosts--Wales--Brecon Beacons National Park","","English",""
"150","008471685","Monograph","Language material ; Text","Online resource","","","Prince, D. R","","person","","Prince, D. R [person]","Countryside interpretation in the North York Moors National Park : a soci-psychological study","","","","","","University of Hull","1980","","","280210","Sport & Recreation ; Sports ; Tourism ; Psychology","","English",""
"271.8092","007074915","Monograph","Language material ; Text","Sheet","GB9905529","","","","","","Brecon Beacons National Park Authority [organisation]","Fr Ignatius and his monastery : Llanthony Tertia at Capel-y-ffin","","","","England","","Brecon Beacons National Park","1991","","1 folded sheet (6 pages)","","Llanthony Abbey ; Ignatius, Father, O.S.B, 1837-1908","","English",""
"271.8092","012487548","Monograph","Language material ; Text","Sheet","GB9362609","","","","","","Brecon Beacons National Park Authority [organisation]","Fr Ignatius and his monastery : Llanthony Tertia at Capel-y-ffin","","","","England","","Brecon Beacons National Park","1991","","1 folded sheet (6 pages)","YK.1994.b.983","Monasticism ; Llanthony Abbey ; Powys (Wales) ; Ignatius, Father, O.S.B, 1837-1908","","English",""
