"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Aa Publishing (Automobile Association (Great Britain))","","organisation","","Aa Publishing (Automobile Association (Great Britain)) [organisation]","015349604","Monograph","Language material ; Text","Volume","GBB113953","9780749561789","Impressions of Exmoor & Dartmoor","Impressions of Exmoor and Dartmoor","","","England","Basingstoke","AA Pub","2009","","96 pages, colour illustrations, 21 x 28 cm","914.235300222","LC.31.a.9227","Dartmoor National Park (England)--Pictorial works ; Exmoor National Park (England)--Pictorial works","Pictorial work","English",""
"Aa Publishing (Automobile Association (Great Britain))","","organisation","","Aa Publishing (Automobile Association (Great Britain)) [organisation]","015508519","Monograph","Language material ; Text","Volume","GBB163894","9780749564094","Impressions of the Brecon Beacons","","","","England","Basingstoke","AA Pub","2009","","96 pages, colour illustrations, 21 x 28 cm","942.95600222","LC.31.a.9774","Landscape photography--Wales--Brecon Beacons National Park ; Brecon Beacons National Park (Wales)--Pictorial works ; Brecon Beacons National Park (Wales)--Description and travel","Pictorial work","English","Includes index"
"Abbott, Tim","","person","","Abbott, Tim [person]","012687461","Monograph","Language material ; Text","Volume","GB8327041","9780905297118","Where to go on the Exmoor coast","","","","England","South Molton","Quest ; Western","1983","","48 pages, illustrations, maps, 20 cm","914.238504858","X.808/38151","England--Exmoor--Coastal regions--Walkers' guides ; Exmoor National Park (England)--Guide-books","","English",""
"Aberdeen (Scotland), City Council","","organisation","","Aberdeenshire (Scotland), Council [organisation] ; Aberdeen (Scotland), City Council [organisation] ; Aberdeen City and Shire Strategic Development Planning Authority [organisation]","015107976","Monograph","Language material ; Text","Volume","GBA935527","","Aberdeen City and Shire structure plan : finalised plan","Aberdeen City and Aberdeenshire (excluding the Cairngorms National Park) structure plan","","","Scotland","Aberdeen","Aberdeen City & Shire Strategic Development Planning Authority","2009","","30 pages, illustrations, maps, portraits, 30 cm","","","Regional planning--Scotland--Aberdeenshire ; City planning--Scotland--Aberdeen","","English","'February 2009' -- Cover ; Aberdeen City Council and Aberdeenshire Council -- Cover ; At head of contents page: Aberdeen City and Aberdeenshire (excluding the Cairngorms National Park) structure plan ; Title from cover"
"Aberdeen (Scotland), City Council","","organisation","","Aberdeenshire (Scotland), Council [organisation] ; Aberdeen (Scotland), City Council [organisation]","014770488","Monograph","Language material ; Text","Volume","GBA8B5787","","Structure plan : draft structure plan","Aberdeen City and Aberdeenshire (excluding the Cairngorms National Park) structure plan ; Aberdeen City and Shire : a brighter outlook","","","Scotland","Aberdeen","Aberdeen City Council ; Aberdeenshire Council","2008","","26 pages, illustrations, maps, 30 cm","","","Regional planning--Scotland--Aberdeenshire ; City planning--Scotland--Aberdeen","","English","'June 2008' -- Cover ; At head of contents page: Aberdeen City and Aberdeenshire (excluding the Cairngorms National Park) structure plan ; At head of title: Aberdeen City and Shire: a brighter outlook ; Cover title"
"Aberdeen City and Shire Strategic Development Planning Authority","","organisation","","Aberdeenshire (Scotland), Council [organisation] ; Aberdeen (Scotland), City Council [organisation] ; Aberdeen City and Shire Strategic Development Planning Authority [organisation]","015107976","Monograph","Language material ; Text","Volume","GBA935527","","Aberdeen City and Shire structure plan : finalised plan","Aberdeen City and Aberdeenshire (excluding the Cairngorms National Park) structure plan","","","Scotland","Aberdeen","Aberdeen City & Shire Strategic Development Planning Authority","2009","","30 pages, illustrations, maps, portraits, 30 cm","","","Regional planning--Scotland--Aberdeenshire ; City planning--Scotland--Aberdeen","","English","'February 2009' -- Cover ; Aberdeen City Council and Aberdeenshire Council -- Cover ; At head of contents page: Aberdeen City and Aberdeenshire (excluding the Cairngorms National Park) structure plan ; Title from cover"
"Aberdeenshire (Scotland), Council","","organisation","","Aberdeenshire (Scotland), Council [organisation] ; Aberdeen (Scotland), City Council [organisation] ; Aberdeen City and Shire Strategic Development Planning Authority [organisation]","015107976","Monograph","Language material ; Text","Volume","GBA935527","","Aberdeen City and Shire structure plan : finalised plan","Aberdeen City and Aberdeenshire (excluding the Cairngorms National Park) structure plan","","","Scotland","Aberdeen","Aberdeen City & Shire Strategic Development Planning Authority","2009","","30 pages, illustrations, maps, portraits, 30 cm","","","Regional planning--Scotland--Aberdeenshire ; City planning--Scotland--Aberdeen","","English","'February 2009' -- Cover ; Aberdeen City Council and Aberdeenshire Council -- Cover ; At head of contents page: Aberdeen City and Aberdeenshire (excluding the Cairngorms National Park) structure plan ; Title from cover"
"Aberdeenshire (Scotland), Council","","organisation","","Aberdeenshire (Scotland), Council [organisation] ; Aberdeen (Scotland), City Council [organisation]","014770488","Monograph","Language material ; Text","Volume","GBA8B5787","","Structure plan : draft structure plan","Aberdeen City and Aberdeenshire (excluding the Cairngorms National Park) structure plan ; Aberdeen City and Shire : a brighter outlook","","","Scotland","Aberdeen","Aberdeen City Council ; Aberdeenshire Council","2008","","26 pages, illustrations, maps, 30 cm","","","Regional planning--Scotland--Aberdeenshire ; City planning--Scotland--Aberdeen","","English","'June 2008' -- Cover ; At head of contents page: Aberdeen City and Aberdeenshire (excluding the Cairngorms National Park) structure plan ; At head of title: Aberdeen City and Shire: a brighter outlook ; Cover title"
"Aberdeenshire (Scotland), Planning and Environmental Services","","organisation","","Aberdeenshire (Scotland), Planning and Environmental Services [organisation]","013698604","Monograph","Language material ; Text","Volume","GBA721927","","The Aberdeenshire local plan","","","","Scotland","Aberdeen","Aberdeenshire Council, Planning & Environmental Services","2006","","468 pages (6 folded), illustrations, maps, 1 portrait, 30 cm","","","Regional planning--Scotland--Aberdeenshire ; Land use--Planning--Scotland--Aberdeenshire","","English","'Adopted by Aberdeenshire Council on 29 June 2006 and by the Cairngorms National Park Authority on 30 June 2006'--P [i] ; 'June 2006.' ; Cover title"
"Abraham, Rudolf","","person","author","Abraham, Rudolf, author [person]","016844136","Monograph","Language material ; Text","Online resource","GBB511206","9781849657785","St Oswald's Way and St Cuthbert's Way : long-distance trails in Northumberland and the Borders","","A Cicerone guide","","England","Milnthorpe, Cumbria","Cicerone","2014","First edition 2013","1 online resource (186 pages), colour illustrations, colour maps","796.51094137","ELD.DS.4900","Saint Oswald's Way (England)--Guidebooks ; Trails--England--Saint Oswald's Way--Guidebooks ; Saint Cuthbert's Way (England and Scotland)--Guidebooks ; Walking--England--Saint Oswald's Way--Guidebooks ; Walking--Saint Cuthbert's Way (England and Scotland)--Guidebooks ; Trails--Saint Cuthbert's Way (England and Scotland)--Guidebooks","Guidebook","English",""
