"BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"000056012","Monograph","Language material ; Text","Volume","","","Allen, James William","","person","","Haworth, James, of Derby [person] ; Allen, James William [person]","Walking in Derbyshire. A detailed route guide for rambling in the Peak District National Park and adjacent countryside. Contributors: J. W. Allen [and others] ... Maps by Charles H. Brown ... General editor, James Haworth","","","","England","Derby","Derbyshire Countryside","1960","","64 pages (8°)","","10010.t.47","","","English",""
"000056013","Monograph","Language material ; Text","Volume","","9780851000015","Allen, James William","","person","","Haworth, James, of Derby [person] ; Allen, James William [person]","Walking in Derbyshire: a detailed route guide for rambling in the Peak District National Park and adjacent countryside; contributors J. W. Allen [and others], maps by Charles H. Brown; general editor James Haworth. 3rd revised ed","","","","England","Derby","Derbyshire Countryside","1969","","64 pages, maps, 19 cm","","X.808/5208","","","English",""
"000369545","Serial","Language material ; Text","Volume","","","","","","","Blakes (Norfolk Broads Holidays) (Firm) [organisation]","Norfolk Broads Holidays Afloat","Norfolk Broads holidays afloat","","","England","London","Blake","1926-","","volumes, illustrations, 35 cm","797.1094261","W.P.9706","Vacations--England--Broads, The ; Broads, The (England)--Tours ; Blakes (Norfolk Broads Holidays) (Firm)--Periodicals ; Boats and boating--England--Broads, The","Periodical","English","Continues: Yachting Holidays ; Latest issue consulted: 1974 ; The 1928 issue is of the second edition"
"000491307","Monograph","Language material ; Text","Volume","","","Brown, Alfred John, of Bradford","","person","","Brown, Alfred John, of Bradford [person]","The North York Moors National Park. Guide book ... Fully illustrated, and with 2 maps, etc","","","","England","Croydon","Home Publishing","1958","","160 pages (8°)","","10362.de.74","","","English",""
"000924598","Monograph","Language material ; Text","Volume","","","Devon (England), County Council","","organisation","","Devon (England), County Council [organisation]","Dartmoor National Park. Policy plan","","","","England","Exeter","","1973","","30, 9 pages, illustrations, maps, 30 cm","","X.313/456","","","",""
"000924600","Monograph","Language material ; Text","Volume","","","Devon (England), County Council","","organisation","","Gill, Crispin [person] ; Dartmoor National Park Committee [organisation] ; Devon (England), County Council [organisation]","The First Ten Years. An account of the work of the Dartmoor National Park Committee, 1951-1961 ... Written by Crispin Gill [Issued by Devon County Council. With illustrations.]","","","","England","Exeter","","1965","","(oblong 8°)","","X.808/1711","","","English",""
"001076864","Monograph","Language material ; Text","Volume","","","England","","organisation","","Hutchins, Richard Newburgh [person] ; Full, Harold Francis [person] ; England [organisation]","12, 13 & 14 Geo. VI. ch. 97. The National Parks and Access to the Countryside Act, 1949. With introduction and annotations by R. N. Hutchins ... and financial notes by H. F. Full ... Reprinted from Butterworth's Annotated Legislation Service With a map","Laws and Statutes. VIII. Chronological Series. George VI [1936-1952.]","","","England","London","Butterworth","1950","","xvi, 374 pages (8°)","","6429.g.28","","","English",""
"001100812","Monograph","Language material ; Text","Volume","","","Brecon Beacons National Park Joint Advisory Committee","","organisation","","Brecon Beacons National Park Joint Advisory Committee [organisation]","The Brecon Beacons Mountain Centre","","","","Wales","Brecon","","1974","","15 pages, illustrations, maps, 15 × 21 cm","","B.S.116/83","","","English",""
"001105664","Serial","Language material ; Text","Volume","","","Dartmoor National Park Committee","","organisation","","Dartmoor National Park Committee [organisation]","Miscellaneous leaflets","","","","England","Exeter","","1965","","","","X.0981/52","","","",""
"001105665","Monograph","Language material ; Text","Volume","","","Dartmoor National Park Committee","","organisation","","Hoskins, W. G. (William George), 1908-1992 [person] ; Dartmoor National Park Committee [organisation]","Dartmoor. (Prepared under the editorship of W. G. Hoskins.) [With plates and a map.]","","National Park Guides","number 1 [National Park Guides]","England","London","","1957","","xi, 67 pages (8°)","","B.S.116/3","","","English",""
"001106912","Monograph","Language material ; Text","Volume","","9780117503977","Great Britain, Department of the Environment","","organisation","","Great Britain, Department of the Environment [organisation] ; Great Britain, Welsh Office [organisation] ; England [organisation]","National Parks and Access to the Countryside Act, 1949 and the Countryside Act, 1968. Explanatory memorandum on grants","","","","England","London","","1971","","24 pages, 25 cm","","B.S.414/443","","","English","Issued in collaboration with the Welsh Office"
"001110845","Monograph","Language material ; Text","Volume","","","Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","Miscellaneous publications not catalogued separately","","","","England","Windermere","","1972","","","","B.S.32/117","","","",""
"001110846","Serial","Language material ; Text","Volume","","","Lake District Planning Board","","organisation","","Lake District Planning Board [organisation]","Lake District Planning Board-Lake District National Park. Sixth [etc.] annual report ... for the period 1st April, 1957 to 31st March, 1958 [etc.]","","","","England","Kendal","","1958","","22 cm","","B.S.116/92","","","English","The twenty-third [etc.] Report is also numbered as the first [etc.] Report of the Lake District Special Planning Board. Wanting the 9th and 18th Reports"
"001113899","Monograph","Language material ; Text","Volume","","","Great Britain, Ministry of Housing and Local Government","","organisation","","Great Britain, Ministry of Housing and Local Government [organisation]","National Parks and Access to the Countryside Act, 1949. The National Parks and Access to the Countryside, Grants, Regulations, 1954. Explanatory memorandum","","","","England","London","","1954","","9 pages (8°)","","B.S.128/2. (13.)","","","English",""
