"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"'A beautiful highland place'","","007625711","Monograph","Language material ; Text","Volume","","9780907632399","","","","","","","","","","Northumberland National Park","2002","","","","","","","",""
"'A tale of two villages' : the story of the integrated rural development experiment in the Peak District, 1981-84","","007446481","Monograph","Language material ; Text","Volume","GB8513536","9780907543312","Parker, Ken","","person","author","Parker, Ken, author [person] ; Peak Park Joint Planning Board, Project Steering Group [organisation]","","","England","Bakewell","Peak Park Joint Planning Board ; Project Steering Group","1984","","119 pages, illustrations (some colour), maps, 1 portrait, 30 cm","330.9425110858","X.805/6346","Rural development--England--Peak District ; England--Peak District--Rural regions--Economic development ; Peak District (England)--Economic conditions","","English",""
"'Mewn gwasgod o fynydd' : hanes twristiaeth yn Eryri","","015883530","Monograph","Language material ; Text","Volume","GBB1A4679","9781845241735","Morris, Robert M.","","person","","Snowdonia National Park Authority (Wales) [organisation] ; Morris, Robert M. [person]","Darlith Goffa Merfyn Williams = Merfyn Williams memorial lecture","2010 [Darlith Goffa Merfyn Williams = Merfyn Williams memorial lecture]","Wales","Penrhyndeudraeth","Awdurdod Parc Cenedlaethol Eryri","2010","","48 pages, illustrations, 21 cm","","","Tourism--Wales--Snowdonia--History","","Welsh","Traddodwyd y ddarlith = Lecture delivered: Plas Tan y Bwlch, Maentwrog, 14/10/2010"
"'No rivalry but different' : Glenmore and Rothiemurcus in the 20th century","","015988107","Monograph","Language material ; Text","Volume","GBB205811","9780855387976","Stewart, Mairi","","person","","Stewart, Mairi [person] ; Forestry Commission Scotland [organisation]","Touchwood history","","Scotland","Edinburgh","Forestry Commission Scotland","2010","","64 pages, illustrations (chiefly colour), colour map, portraits (some colour), 20 cm","333.75094124","YK.2012.a.20931","Forests and forestry--Scotland--Cairngorms National Park--History--20th century","","English","Text by Mairi Stewart ; Title from cover"
"111 places in the Lake District that you shouldn't miss","Hundred and eleven places in the Lake District that you shouldn't miss ; One hundred and eleven places in the Lake District that you shouldn't miss","019348680","Monograph","Language material ; Text","Volume","GBB963869","9783740803780","Berchemin, Solange","","person","author","Berchemin, Solange, author [person]","","","Germany","Cologne","Emons","2019","First edition","230 pages, illustrations, maps, 21 cm","914.278048612","YK.2021.a.241","Lake District National Park (England)--Guidebooks","Guidebook","English",""
"12, 13 & 14 Geo. VI. ch. 97. The National Parks and Access to the Countryside Act, 1949. With introduction and annotations by R. N. Hutchins ... and financial notes by H. F. Full ... Reprinted from Butterworth's Annotated Legislation Service With a map","Laws and Statutes. VIII. Chronological Series. George VI [1936-1952.]","001076864","Monograph","Language material ; Text","Volume","","","England","","organisation","","Hutchins, Richard Newburgh [person] ; Full, Harold Francis [person] ; England [organisation]","","","England","London","Butterworth","1950","","xvi, 374 pages (8°)","","6429.g.28","","","English",""
"20 walks of 6 to 10 miles","Circular walks in the Peak District","015863195","Monograph","Language material ; Text","Volume","GBB2A0814","9781873775400","Tidsall, Pat","","person","","Tidsall, Pat [person]","","","England","Ashbourne","Ashbourne","2011","Revised edition","78 pages, illustrations, maps, 18 cm","796.510942511","YK.2012.a.22038","Walking--England--Peak District National Park--Guidebooks ; Trails--England--Peak District National Park--Guidebooks ; Peak District National Park (England)--Guidebooks","Guidebook","English","Includes index"
"24 from 24 : a selection of 24 walks in and around the Peak District National Park","","009920733","Monograph","Language material ; Text","Volume","GBA412326","","Green, Alan, tenor","","person","","Green, Alan, tenor [person]","","","England ; United Kingdom","","A. Green","2001","","60 pages, maps, 21 cm","796.510942511","YK.2004.a.2454","Walking--England--Peak District--Guidebooks ; Peak District (England)--Guidebooks","Guidebook","English","'Based on Ordnance Survey Outdoor Leisure Map 24 (the Peak District-White Peak Area) '"
"24 from 24.\A selection of 24 walks in and around the Peak District National park","","010277040","Monograph","Language material ; Text","Volume","","","","","","","","","","","","Alan Green","2001","","","","","","","English",""
"30 illustrated Hampshire & the New Forest walks","Hampshire & the New Forest walks ; Hampshire walks ; Thirty illustrated Hampshire and the New Forest walks","016085605","Serial","Language material ; Text","Volume","GBB327470","","","","","","Southern Daily Echo [organisation]","","","England","Southampton","Newsquest","2012-","","illustrations (colour), colour maps, 21 cm","796.51094227","ZK.9.a.13961","Hampshire, England--Description and travel--Guidebooks ; Walking--England--New Forest National Park--Guidebooks ; Walking--England--Hampshire--Guidebooks","Guidebook","English",""
