"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Abergavenny (Wales)--Guidebooks","geographical term","013006646","Monograph","Language material ; Text","Volume","GBA471364","","","","","","Brecon Beacons National Park Authority [organisation]","Walks from Abergavenny","","","","Wales","Brecon","Brecon Beacons National Park Authority","1997","","32 pages, illustrations, map, 21 cm","","","Guidebook","English","Cover title"
"Abergavenny (Wales)--Guidebooks","geographical term","014918148","Monograph","Language material ; Text","Volume","GBA958378","9781906641047","Andrews, Nigel","1953-","person","","Andrews, Nigel, 1953- [person]","The Bristol to Brecon walk : via Chepstow, Usk, Abergavenny, Crickhowell and Talybont","","","","United Kingdom Miscellaneous Islands","St Helier, Jersey","ELSP","2008","","79 pages, illustrations, maps, 22 cm","914.29980486","m09/.24567","Guidebook","English",""
"Abergavenny Region (Wales)--Description and travel--Guidebooks","geographical term","012687443","Monograph","Language material ; Text","Volume","GB7620224","9780905293011","Brecon Beacons National Park Committee","","organisation","","Brecon Beacons National Park Committee [organisation]","30 walks in the Abergavenny area","","","","Wales","Brecon ; Glamorgan Street, Brecon, Powys","Committee","1976","","16 pages, 23 x 10 cm","914.2998","BS.116/109","","English",""
"Abergavenny Region (Wales)--Description and travel--Guidebooks--Maps","geographical term","017979433","Monograph","Cartographic image ; Cartographic material ; Text","Volume","","","","","","","","Over 30 walks in the S Black Mountains : and the hills around Abergavenny","","","","Wales","Brecon","National Park Service","1991","Revised and expanded","1 map, colour, black and white photographs, black and white illustrations, 28 x 21 cm + text (32 pages, 21 cm)","912.4294","Maps.2016.d.71","Map","English","Based upon Ordnance Survey mapping ; Parc Cenedlaethol Bannau Brycheiniog = Brecon Beacons National Park on front cover ; Relief shown by shading and spot heights ; The map is on the inside of the folded cover ; Walks North of Abergavenny on inside front cover ; Walks South of Abergavenny on inside back cover"
"Access; Protection","general term","006605984","Monographic component part","Language material ; Text","Volume","","","Peak District National Park Authority","","organisation","","Peak District National Park Authority [organisation]","State of the park report 2000","","","","","","Peak District National Park Authority","2000","","","307.12 ; 790 ; 796 ; 910","8438.269500","","English",""
"Acid deposition--Wales--Gwynedd","general term","007697799","Monograph","Language material ; Text","Volume","GB9208449","","Acid Deposition in Gwynedd (Conference), Maentwrog, Wales","1989","meeting/conference","","Snowdonia National Park [organisation] ; Gritten, R. H. [person] ; Acid Deposition in Gwynedd (Conference), Maentwrog, Wales, 1989 [meeting/conference]","Proceedings of Acid Deposition in Gwynedd conference","","","","Wales","Penrhyndeudraeth","Snowdonia National Park Authority","1991","","219 pages, illustrations, maps, 30 cm","","","","English ; Welsh","Conference held at Plas Tan-y-bwlch, Maentwrog, 16th-18th March, 1989"
"Acid rain--Wales--Gwynedd--Environmental aspects","general term","007697799","Monograph","Language material ; Text","Volume","GB9208449","","Acid Deposition in Gwynedd (Conference), Maentwrog, Wales","1989","meeting/conference","","Snowdonia National Park [organisation] ; Gritten, R. H. [person] ; Acid Deposition in Gwynedd (Conference), Maentwrog, Wales, 1989 [meeting/conference]","Proceedings of Acid Deposition in Gwynedd conference","","","","Wales","Penrhyndeudraeth","Snowdonia National Park Authority","1991","","219 pages, illustrations, maps, 30 cm","","","","English ; Welsh","Conference held at Plas Tan-y-bwlch, Maentwrog, 16th-18th March, 1989"
"Active outdoor pursuits","general term","016777488","Monograph","Language material ; Text","Online resource","GBB4D2350","9781849651721","Turnbull, Ronald","1951-","person","author","Turnbull, Ronald, 1951-, author [person]","Walking Loch Lomond and the Trossachs","Walking Loch Lomond and the Trossachs : 74 routes in the national park","","","England","Milnthorpe, Cumbria","Cicerone","2009","First edition 2009","1 online resource (285 pages), colour illustrations, colour maps","914.142","ELD.DS.3038","Guidebook","English","'A Cicerone guide.'"
"Active outdoor pursuits","general term","016843881","Monograph","Language material ; Text","Online resource","GBB502879","9781849653909","Reynolds, Kev","","person","author","Reynolds, Kev, author [person]","Walks in the South Downs National Park","","A Cicerone guide","","England","Milnthorpe, Cmbria","Cicerone","2011","First edition 2011","1 online resource, colour illustrations, colour maps","796.51094226","ELD.DS.4645","Guidebook","English","Cover subtitle: 40 coast, downs and countryside walks"
"Active outdoor pursuits","general term","016843894","Monograph","Language material ; Text","Online resource","GBB502884","9781849653336","Reynolds, Kev","","person","author","Reynolds, Kev, author [person]","Walks in the South Downs National Park","","A Cicerone guide","","England","Milnthorpe, Cmbria","Cicerone","2011","First edition 2011","1 online resource (219 pages), colour illustrations, colour maps","796.51094226","ELD.DS.4658","Guidebook","English","Cover subtitle: 40 coast, downs and countryside walks"
